name,tag,timestamp
crossroadlabs/Commandant,0.1,1416642522
alexito4/Trap,1.0.0,1488277913
ali-rantakari/Punos,v0.1,1455284196
crossroadlabs/ExpressCommandLine,0.1.2,1454762460
crossroadlabs/ExpressSite,0.1.0,1457295655
glessard/async,1.0.0,1449356654
glessard/deferred,1.5.0,1449292841
IBM-Swift/Kitura-StencilTemplateEngine,0.0.1,1458482101
AliSoftware/Reusable,0.1.0,1453234183
macpass/kissxml,1.0,1222678125
glessard/shuffle,1.0.0,1449228508
cruinh/SwiftPackage,0.1,1449541702
cysp/swift-CGit2,v0.1.0,1459046113
pokeb/asi-http-request,v0.2,1217089720
cysp/swift-Git2Autoinitialize,v0.0.0,1458953344
cysp/swift-Git2,v0.0.0,1458953475
czechboy0/BSON2JSON,0.1.0,1464294541
glessard/syncprint,1.0.0,1449230823
PlanTeam/CryptoKitten,0.1.0,1459249165
PlanTeam/MongoKitten,0.1.0,1456762458
glimpseio/BricBrac,1.0.0,1599613847
IBM-Swift/Kitura-TemplateEngine,0.0.1,1456811228
IBM-Swift/LoggerAPI,0.0.1,1455039086
m-barthelemy/zabbix-swift,0.0.1,1464961360
mccuneware/CGtk-OSX,1.0.0,1453844334
mccuneware/CNCURSES,1.0.0,1468034791
glock45/swifter,1.0.2,1444147637
IBM-Swift/OpenSSL-OSX,0.1.0,1462285786
IBM-Swift/OpenSSL,0.0.1,1461071966
mccuneware/SwiftGtk,0.1.0,1453850844
mckomo/gulp-vapor,v1.0.6,1463952363
IBM-Swift/Swift-cfenv,0.0.1,1459100449
colemancda/cocoalumberjack,1.0,1275469773
Memorion/BitUnits,v0.1.0,1453394427
alloyapple/swiftwrappingc,0.5.0,1452571317
theholygrail/excalibur,v0.0.1,1431714910
theholygrail/shrubbery,v0.0.1,1431995694
IBM-Swift/swift-watson-sdk,v0.0,1462991041
grokify/glip-sdk-swift,0.0.1,1455088002
IBM-Swift/SwiftyJSON,1.0.0,1411719567
ambientlight/Perfect,v1.0.0,1458575854
wireapp/htmlstring,1.0.1,1475316239
gscalzo/http4swift,v0.0.1,1449371791
gscalzo/JSON,0.2,1448742176
gscalzo/swiftra,v0.0.1,1449363926
gwk/quilt,0.0.0,1468022965
MetalheadSanya/GtkSwift,1.1.12,1459659924
s-aska/oauthswift,v0.1.6,1421312186
anders617/ABCSVPackage,1.0.0,1452391371
harlanhaskins/Base65536.swift,1.0.0,1449381787
harlanhaskins/Digits.swift,1.0.0,1449357783
anders617/ABMatricesPackageTest,1.0.0,1452050940
skedgo/oauthswift,v0.1.6,1421312186
IBM-Swift/SwiftyJSON-Sample,0.1.1,1464797404
czechboy0/SecretSocks,0.0.1,1466459626
IBM-Swift/todolist-couchdb,0.0.1,1463502012
hatunike/swift-api-to-snippet,0.1.0,1451448489
czechboy0/Socks,0.0.1,1458508525
hatzel/swift-simple-queue,0.0.1,1453410893
Hauschi86/SwiftybeaverFork,v0.1.0,1448726574
ibm-wearables-sdk-for-mobile/ibm-wearables-swift-sdk,1.0.0,1457512063
icapps/ios-air-rivet,basic,1448811864
angelcasado/CSDL2,1.0.0,1468033318
angelcasado/Result,1.0.0,1453612259
anhdat/pikter,0.1.0,1461665721
kumabook/swiftyjson,1.0.0,1411719567
kumabook/alamofire,1.0.0,1411708113
apple/swift-numerics,0.0.0,1573479484
a2/Data,1.0.0,1456134031
Abizern/CodeJamHelpers,1.0.0,1455387876
chrisamanse/radiobutton,v1.0,1447990216
Abizern/gcj-reverse-words,0.1.0,1460155396
aciidb0mb3r/CGetFactorial,1.0.0,1451137348
aciidb0mb3r/CGtk3,1.0.0,1462870994
czechboy0/dvr,v0.0.1,1434986340
hjiang/swifter,1.0.2,1444147637
aciidb0mb3r/CSourceKit,1.0.0,1465307529
aciidb0mb3r/Pantry,0.1,1446683649
aciidb0mb3r/SimpleGetClient,0.0.1,1449393513
michaelkyriacou/SwiftQL,0.1.0,1463839360
michael-yuji/spartanX-swift,0.0.1,1474869659
aciidb0mb3r/Spawn,0.0.1,1463067475
aciidb0mb3r/SwiftBasic,1.0.0,1465313471
aciidb0mb3r/swiftlibc,1.0.0,1450611287
aciidb0mb3r/swiftPOSIX,1.0.0,1450612199
realm/realm-core,worked-for-java,1337690293
michalkalinowski-/Kitura-net,0.0.1,1455045422
armadsen/SwiftIOKitBridge,1.0.0,1451931128
armcknight/columnize.swift,1.0.0,1459721645
armcknight/leftpad.swift,1.0.0,1459721621
armcknight/truncate.swift,1.0.0,1459721635
icapps/ios-delirium,0.1.0,1465556983
icapps/ios-duvel,0.1.0,1465482278
PlanTeam/When,1.0.0,1455541307
PlanTeam/Zarpedon,0.1.0,1459992333
Plopix/Dose,0.0.1,1461536815
czechboy0/swift-package-crawler,0.1.0,1471336728
czechboy0/Tasks,0.1.0,1462709527
d-abe/fluent,0.1.0,1456093469
AgentEpsilon/Miniswift,1.0.0,1457058465
Akkyie/Seria,0.0.1,1462520669
aktowns/CChipmunk2D,1.0.0,1452344843
aktowns/CGLEW,1.0.0,1452466750
aktowns/CGLFW,1.0.0,1452506178
aktowns/CGL,1.0.0,1452424247
aktowns/CGTK3,1.0.0,1453558544
aktowns/CSDL,1.0.0,1451575431
aktowns/CSystemTap,1.0.0,1452164948
aktowns/CTMX,1.0.0,1451823111
aktowns/CUnsafeSignalCasts,1.0.0,1453455376
aktowns/CXML2,1.0.0,1451390023
aktowns/Signals,1.0.0,1424136848
d-abe/fluent-postgresql,0.1.0,1456175641
aktowns/swift-udev-binding,1.0.0,1449230301
aktowns/swift-udev,0.0.1,1449325158
hkgumbs/XTest,0.1.0,1464659779
d-abe/Kitura-extension,0.0.1,1456909693
ankurp/DollarSwiftPackage,1.0.0,1499372172
anpol/DispatchKit,v0.1,1405336881
pseudomuto/Retired,0.1.0,1459543608
michalkalinowski-/KituraRequest,0.0.0,1464815831
ptmt/ReactGtk,0.1.0,1460302182
ptmt/SwiftGtk,0.1.0,1453850844
d-abe/LithiumLogger,0.0.1,1456470383
michalkalinowski-/Timer,0.0.0,1463310365
mixalich7b/ObjectMapper,0.0.1,1415721010
Danappelxx/BinaryJSON,0.9.0,1450769432
Danappelxx/CLibbson,0.1.0,1449718034
Danappelxx/CMongoC,0.1.0,1449799040
antonmes/MessagePack,0.4.0,1459575505
apegroup/APESuperHUD,0.1,1454072626
Danappelxx/EarlyReturn.swift,0.1.0,1450483845
Danappelxx/RedirectMiddleware,0.1.0,1459137736
mixalich7b/SwiftTBot,0.0.1,1466586176
apple/example-package-dealer,1.0.0,1447982112
ikuehne/Papaya,0.0.0,1451702555
ilap/BioSwift,0.0.1,1463221354
ilap/DesignGuide,v0.0.1a,1463686297
illusionofchaos/swift-package-bullet,1.0.0,1449266729
Danappelxx/SessionMiddleware,0.1.0,1459146333
PureSwift/Cacao,0.1.0,1463819475
illusionofchaos/swift-package-enumExtensions,1.0,1449259572
Danappelxx/UUID,0.1.0,1459144532
illusionofchaos/swift-package-optionalAssignment,1.0.0,1449265002
DanielTomlinson/FailureType,0.1.0,1454783285
DanielTomlinson/JSON,0.2,1448742176
DanielTomlinson/Resource,0.1.0,1454253820
danneu/hansel,0.0.1,1457273625
DannyArends/swift-bindings,1.0.0,1451836066
DanToml/AssetGen,0.1.0,1449605470
DanToml/Resource,0.1.0,1454253820
DanToml/Stash,0.1.0,1449775752
mnito/random-number-game-example-swift,v1.0.0,1454194873
moaible/SwCLI,0.0.0,1467030663
davecom/SwiftGraph,1.0,1434082895
PureSwift/CBlueZInternal,1.0.0,1456699948
PureSwift/CBlueZ,1.0.0,1449390378
PureSwift/CBSON,1.0.0,1451169753
PureSwift/CCairo,1.0.0,1463816067
huytd/swift-http,v0.1-linux,1449257228
PureSwift/CcURL,1.0.0,1449466620
hyperoslo/Champagne,0.1.0,1465395247
mokagio/DateFactory,1.0.0,1465092159
PureSwift/CDBus,1.0.0,1456606296
PureSwift/CFontConfig,1.0.0,1465042951
PureSwift/CFreeType,1.0.0,1465043156
hyperoslo/Flamingo,0.1.0,1465395247
hyperoslo/NSEntityDescription-SYNCPrimaryKey,0.1.0,1429640631
mpclarkson/printr,0.1.0,1455706617
PureSwift/CJSONC,1.0.0,1450574032
PureSwift/CMongoC,1.0.0,1451185136
indragiek/pdfcat,1.0.0,1449781918
PureSwift/CMySQL,1.0.0,1449728079
indragiek/SwiftAutoLayout,1.0.0,1452314397
PureSwift/CSDL2,1.0.0,1463901845
PureSwift/CStatfs,1.0.0,1449351036
PureSwift/CSwiftBluetoothLinux,1.0.0,1456901523
dhardiman/expecta,v0.1.0,1326067027
PureSwift/CUUID,1.0.0,1449350337
PureSwift/CXCB,1.0.0,1463827763
PureSwift/DBus,0.1.0,1456606493
PureSwift/GATT,1.0.0,1459845051
interstateone/OpenSSL,0.1.0,1449533984
interstateone/SlackAPI,1.0.0,1454465013
interstateone/WebSocket,0.1.0,1451825771
dhardiman/ocmock,v1.77.1,1320356856
ios-studio/Mixer,0.1.0,1454865155
PureSwift/JSONC,1.0.0,1450638555
PureSwift/MySQL,1.0.0,1449737212
PureSwift/SeeURL,1.0.0,1453790214
apple/example-package-deckofplayingcards,1.0.0,1447982154
PureSwift/SwiftFoundation,0.9,1448316549
dhardiman/specta,v0.1.0,1326095593
apple/example-package-fisheryates,1.0.0,1447982194
DavidSkrundz/Collections,0.0.0,1466553442
DavidSkrundz/Regex,0.1.0,1482655692
DavidSkrundz/Util,1.0.0,1482655189
apple/example-package-playingcard,1.0.0,1447982232
mrwerdo/CLibTIFF,0.1.0,1463276877
daviesgeek/swiftrouter,0.0.1,1449719765
dcilia/csv-export-swift,0.1,1453738845
github/mantle,0.1,1350933556
dcutting/Syft,0.1.0,1496793769
dduan/herp,0.0.1,1455425107
Mrwerdo/Geometry,1.0.1,1472898471
apple/swift-corelibs-xctest,swift-2.2-SNAPSHOT-2015-12-01-a,1448906974
Mrwerdo/LibTIFF,0.1,1465783281
iachievedit/CJSONC,1.0.0,1449538094
iachievedit/CNCURSES,1.0.0,1452453328
iachievedit/MQTT,0.1.0,1465163606
iachievedit/swiftlog,1.0.0,1453611711
iachievedit/swiftysockets,0.1.0,1451671438
iachievedit/Tide,0.1.0,1451675630
IanKeen/Chameleon,0.0.0,1465608977
moya/reactiveswift,1.0.0-alpha.1,1474678846
muhrusdi/Fluent-Mongo2,0.0.0,1463599912
muhrusdi/fluent-mongo,0,1465267415
IanKeen/Jay,0.1.0,1455827875
izqui/SwiftSockets,v0.0.1,1402835451
shibapm/packageconfig,0.0.1,1541386404
jabwd/BCrypt-Swift,0.0.1,1460633907
shibapm/rocket,0.1.0,1543591203
jabwd/LibreSSL-Swift,0.0.1,1460633907
jabwd/RedisC,0.1.0,1456504299
ibm-bluemix-mobile-services/bluemix-objectstorage-serversdk-swift,0.1.0,1462248892
AugustRush/EasyLayout-Swift,0.5,1462185152
jabwd/SwiftRedis,0.1.0,1456752940
ibm-bluemix-mobile-services/bluemix-objectstorage-swift-sdk,0.1.0,1462248892
ibm-bluemix-mobile-services/bluemix-objectstore-swift-sdk,0.1.0,1462248892
jabwd/SwiftSodium,0.0.1,1458224632
autozimu/CNanomsg,0.1.0,1462927962
jabwd/SwiftSSL,0.0.1,1455471182
jackowski/MJCalendar,0.1.0,1455203781
autozimu/nanomsg-swift,0.1.0,1462853840
JadenGeller/Axiomatic,1.0.0,1453195967
ibm-bluemix-mobile-services/bluemix-pushnotifications-swift-sdk,0.1.0,1463089001
autozimu/Nanomsg.swift,0.1.0,1462853840
JadenGeller/BidirectionalMap,1.0,1451273784
autozimu/StringMetric.swift,0.1.0,1478615024
JadenGeller/Calcula,1.0.0,1451885662
awesome-labs/LFAlertController,0.0.1,1456447039
JadenGeller/Chemical,1.0.0,1456052100
b1narykid/Roku,0.1.0,1450613616
JadenGeller/Comparator,1.0.0,1451379714
JadenGeller/Edgy,1.0.0,1451459619
JadenGeller/Erratic,1.0.0,1456002011
ibm-bluemix-mobile-services/bluemix-simple-http-client-swift,0.0.1,1461874145
b20160/PerfectLib,1.0.0,1459384780
b20160/PerfectServer,1.0.0,1459385728
b20160/vapor-0.4.1,0.4.1,1459538531
bakkenbaeck/CollectionSectionScrubber,0.1.0,1467196434
ibm-bluemix-mobile-services/bluemix-simple-logger-swift,0.0.1,1461871034
bakkenbaeck/DateScrubber,0.1.0,1467196434
wireapp/swift-protobuf,0.9.13,1472779361
ibm-bluemix-mobile-services/bms-mca-kitura-credentials-plugin,v0.0.1,1462555649
ibm-bluemix-mobile-services/bms-mca-serversdk-swift,0.0.1,1462487105
my-mail-ru/swiftperl,0.1.0,1477078726
apple/swift-package-manager,swift-2.2-SNAPSHOT-2015-12-01-a,1448925069
bakkenbaeck/Sweet,0.0.1,1419107437
nakazy/vapor,0.1.0,1453780308
nassersala/CGetFactorial,1.0.0,1451976600
natestedman/Attributed,0.1.0,1446820831
natestedman/ReactiveCocoa,v0.5.0,1336421866
ibm-bluemix-mobile-services/bms-pushnotifications-serversdk-swift,0.1.0,1463089001
agilebits/onepassword-extension,1.0.0,1406765482
IBM-DTeam/swift-for-db2,1.0.0,1466796448
bakkenbaeck/Viewer,0.1.0,1467197028
natestedman/Result,0.1,1428614128
apple/swift-llbuild,swift-2.2-SNAPSHOT-2015-12-01-a,1448931553
behrang/SwiftParsec,1.0.0,1469855756
ndavon/Clibxml2,1.0.0,1453957792
ndavon/NDHpple,1.0.0,1453960818
necolt/CSQLite,0.0.1,1457988902
necolt/Curassow,0.0.1,1449274786
behrang/YamlSwift,1.0.0,1433757815
necolt/Inquiline,0.1.0,1427576101
necolt/PathKit,0.1.0,1416265971
necolt/Stencil,0.1.0,1414348043
necolt/Swifton,0.0.1,1456070239
IBM-Swift/BlueCryptor-Sample,0.1,1471865371
necolt/URITemplate.swift,1.0.0,1418556255
neonichu/Azkaban,0.1.0,1450730036
neonichu/cathode,0.1.0,1456176375
neonichu/CJavaVM,0.0.1,1461189634
benjaminsnorris/LaunchCount,v0.1,1457459519
neonichu/Crash,0.0.1,1453838824
neonichu/curl,1.0.0,1449236259
neonichu/curly,0.0.1,1449519245
neonichu/Decodable,v0.1,1437147012
benjaminsnorris/SettingsActions,v0.1,1458934747
aldoram5/ALImageGallery,0.9.0,1453954129
neonichu/electronic-moji,0.0.1,1452107714
AleGit/CTptpParsing,1.0.0,1592456457
AleGit/CYices,1.0.0,1581328228
neonichu/lol,0.0.1,1449787628
neonichu/RequestSession,0.0.1,1453195983
AleGit/FLEA,1.0.0,1471629274
aleph7/CHDF5,1.0.0,1449174624
neonichu/spectre-build,0.0.0,1450294194
neonichu/yolo,0.0.1,1450045680
benloong/TidyJSON,1.0.0,1453720532
nestproject/Frank,0.1.0,1453707087
alex-alex/HashedPassword,0.7.0,1467876939
alex-alex/S2Geometry,0.1.0,1467810898
BennyKJohnson/COpenSSL,0.1,1468118372
JadenGeller/Expressive,0.0.1,1454434283
JadenGeller/Fractional,1.0.0,1451272121
JadenGeller/Generational,1.0.0,1451355905
BennyKJohnson/OpenCloudKit,0.1.0,1468393550
pusher/pusher-websocket-swift,0.1.0,1436374111
nestproject/NestTest,0.1.0,1457205537
NewBeeInc/CDispatch,1.0.0,1466760270
NewBeeInc/Tictoc,0.0.1,1466143214
NextLevel/NextLevel,0.0.1-beta.5,1476081343
bensyverson/PutStuffHereSwift,v0.0.1,1459203650
bignerdranch/AtomicSwift,1.0.0,1449473248
bignerdranch/CoreDataStack,v0.0.1,1429903833
Deltalus/MCGL,1.0.0,1450604796
Deltalus/OpenGL,1.0.0,1450603795
adambant/Perfect-MySQL,0.1.0,1461209576
AE9RB/SwiftGL,1.0.0,1449800065
ahalls/Commander,0.1.0,1426937038
JadenGeller/Gluey,1.0.0,1453116770
alexpopov/RxSwift,0.7,1428615797
deszip/fluent-pg,0.0.1,1457882663
Pyroh/CoreGeometry,2.0.0,1532619778
alloyapple/NSLinux,1.0.0,1449532733
allu22/Freddy,v2.0.0b1,1450391503
althyg/SnapKit,0.0.1,1420699202
AmbulnzLLC/socket.io-client-swift,v1.0.0-beta.1,1422717026
drewag/text-transformers,0.1.0,1460185446
dreymonde/SwiftyNURE,0.1.0,1455997151
drkibitz/swift-CGit2,0.1.0,1457897982
qpre/octopus,1.0.0,1450770790
JadenGeller/Handbag,1.0.0,1452510545
duemunk/Async,1.0,1419726097
JadenGeller/Linky,1.0.0,1451465686
JadenGeller/Orderly,1.0.0,1452661180
anjerodesu/swift-package-manager,swift-2.2-SNAPSHOT-2015-12-01-a,1448925069
isair/jsonhelper,1.0.0,1409284895
exchangegroup/mprhttp,1.0.0,1434064117
rustyknight/jsonhelper,1.0.0,1409284895
Anviking/Decodable,v0.1,1437147012
f-meloni/logger,0.1.0,1543344525
hxucaa/swiftz,v0.1.0,1422254966
Anviking/Surge,0.1.0,1421600049
aonawale/Alamofire,1.0.0,1411708113
niceagency/LocationMonitor,0.1.0,1460987480
quells/Squall,1.0.0,1463889316
apple/swift-atomics,0.0.1,1601596656
ninjazoete/MawPackage,1.0,1452433329
